ID,CPF,Nome,Idade,Data_Cadastro
1,123.456.789-09,Joao Silva,45,2024-12-01
2,987.654.321-00,Maria Oliveira,30,2024-12-02
3,456.789.123-64,Carlos Pereira,65,2024-12-03
4,321.987.654-46,Ana Souza,29,2024-12-04
5,654.321.987-46,Pedro Almeida,50,2024-12-05
6,354.624.978-06,Maria Madalena,50,2024-07-10
7,111.222.333-44,Jose Lima,25,2024-11-15
8,222.333.444-55,Patricia Moreira,33,2023-01-20
9,333.444.555-66,Ricardo Alves,58,2023-05-10
10,444.555.666-77,Fernanda Costa,42,2023-08-01
11,555.666.777-88,Gabriel Santos,22,2024-02-28
12,666.777.888-99,Luciana Dias,49,2022-12-30
